Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Woburn: Forgotten Tales & Untold Stories,,,,http://books.google.nl/books?id=XujMAAAACAAJ&dq=Woburn:+Forgotten+Tales&hl=&cd=1&source=gbs_api,,2004-01-01,http://books.google.nl/books?id=XujMAAAACAAJ&dq=Woburn:+Forgotten+Tales&hl=&source=gbs_api,['Woburn (Mass.)'],
"God was in this place & I, i did not know: Finding self, spirituality, and ultimate meaning","God encourages us in his Word to give thanks in all things at all times. That’s not a mistake. When we choose to focus on things we are grateful for, we become happier people. Our satisfaction in life increases. Comparisons cease. Unnecessary pursuits pause. And we begin to notice the little things. The things that matter. Life. Breath. Connection. Kindness. Beauty. This is where we find God—our true happy place. As you reflect on these devotional entries, Scriptures, and prayers, refocus your perspective and begin to meditate on things that produce life and joy, that bring peace and comfort. Spend the beginning and end of your day with God, experiencing his goodness and being refreshed in his presence. Be encouraged as you take time to ponder how wonderfully unique and abundantly blessed you are. Evaluate each day in the light of God’s truth. From the time you wake up, until the time you fall into bed at night, choose gratitude. Choose satisfaction. Choose your happy place.",['BroadStreet Publishing Group LLC'],http://books.google.com/books/content?id=HXoSEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=HXoSEAAAQBAJ&printsec=frontcover&dq=God+was+in+this+place&hl=&cd=1&source=gbs_api,BroadStreet Publishing Group LLC,2021-04-06,https://play.google.com/store/books/details?id=HXoSEAAAQBAJ&source=gbs_api,['Religion'],
Cascade Point and Other Stories,"This collection of fifteen science fiction tales features the Hugo Award-winning title story and includes the never-before-published ""Not Always The Strong""",['Timothy Zahn'],,http://books.google.nl/books?id=ZJAVAAAACAAJ&dq=Cascade+Point+and+Other+Stories&hl=&cd=1&source=gbs_api,St Martins Press,1986,http://books.google.nl/books?id=ZJAVAAAACAAJ&dq=Cascade+Point+and+Other+Stories&hl=&source=gbs_api,['Fiction'],
The soul of man under socialism,The soul of man under socialism by Oscar Wilde is a fascinating libertarian socialist world-view and a critique of charity. Oscar Wilde is widely accepted as being one of the greatest authors who ever lived. This is an excellent addition to the collection and a masterful piece of literature.,['Oscar Wilde'],,http://books.google.nl/books?id=hCTetAEACAAJ&dq=The+soul+of+man+under+socialism&hl=&cd=1&source=gbs_api,,2016-11-23,http://books.google.nl/books?id=hCTetAEACAAJ&dq=The+soul+of+man+under+socialism&hl=&source=gbs_api,,
Prep for PRAXIS: PRAXIS II Exam 2003 (Arco Master the Praxis II Exam),,,http://books.google.com/books/content?id=In5YAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=In5YAAAAYAAJ&q=Prep+for+PRAXIS:+PRAXIS+II+Exam+2003+(Arco+Master+the+Praxis+II+Exam)&dq=Prep+for+PRAXIS:+PRAXIS+II+Exam+2003+(Arco+Master+the+Praxis+II+Exam)&hl=&cd=1&source=gbs_api,,2001-10,http://books.google.nl/books?id=In5YAAAAYAAJ&dq=Prep+for+PRAXIS:+PRAXIS+II+Exam+2003+(Arco+Master+the+Praxis+II+Exam)&hl=&source=gbs_api,"[""Children's libraries""]",
"Bye-Bye, Mom and Dad",Little Critter thinks he is in charge when Mom and Dad go away for the day even though Grandma and Grandpa spend the day with him.,['Mercer Mayer'],,"http://books.google.nl/books?id=5iK9tAEACAAJ&dq=Bye-Bye,+Mom+and+Dad&hl=&cd=1&source=gbs_api",,2004,"http://books.google.nl/books?id=5iK9tAEACAAJ&dq=Bye-Bye,+Mom+and+Dad&hl=&source=gbs_api",['Families'],
The Scarletti Curse (Candleglow),,['Christine Feehan'],,http://books.google.nl/books?id=2YXLtAEACAAJ&dq=The+Scarletti+Curse+(Candleglow)&hl=&cd=1&source=gbs_api,,,http://books.google.nl/books?id=2YXLtAEACAAJ&dq=The+Scarletti+Curse+(Candleglow)&hl=&source=gbs_api,,
Universal Secrets of Telecosmic Power,,['Norvell'],,http://books.google.nl/books?id=3dYmAAAACAAJ&dq=Universal+Secrets+of+Telecosmic+Power&hl=&cd=1&source=gbs_api,Reward Books,1974-01-01,http://books.google.nl/books?id=3dYmAAAACAAJ&dq=Universal+Secrets+of+Telecosmic+Power&hl=&source=gbs_api,['Success'],
The Visitor's Guide to Normandy Landing Beaches: Memorials and Museums (Regional Traveller),,"['Tonie Holt', 'Valmai Holt']",,http://books.google.nl/books?id=mnuBQgAACAAJ&dq=The+Visitor%27s+Guide+to+Normandy+Landing+Beaches:+Memorials+and+Museums+(Regional+Traveller)&hl=&cd=1&source=gbs_api,Hunter Pub Incorporated,1994-01-01,http://books.google.nl/books?id=mnuBQgAACAAJ&dq=The+Visitor%27s+Guide+to+Normandy+Landing+Beaches:+Memorials+and+Museums+(Regional+Traveller)&hl=&source=gbs_api,['Travel'],
The Bar Code Implementation Guide: Using Bar Codes in Distribution,,"['Stephen L. Pearce', 'Richard D. Bushnell']",,http://books.google.nl/books?id=7Yw6AAAACAAJ&dq=The+Bar+Code+Implementation+Guide:+Using+Bar+Codes+in+Distribution&hl=&cd=1&source=gbs_api,Tower Hill Press,2000,http://books.google.nl/books?id=7Yw6AAAACAAJ&dq=The+Bar+Code+Implementation+Guide:+Using+Bar+Codes+in+Distribution&hl=&source=gbs_api,['Business & Economics'],
